,player_position,average_rating,total_game_played,started_game_percentage,minute_per_game,goals_per_game,assist_per_game,dribbled_per_game,pourcentage passes,balls_recovered_per_game,possession_won,tackles_per_game,interception_per_game,clean_sheets,saves,goals_conceded,number_match_called_up,number_match_started,player_status,national_team,player_market_value,league_ranking,player_name_sofascore,player_name_transfer_market,player_team,player_league
981,G,7.06,26.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.6,0.5,0.0,called-up,russia 2020,4.8,150.0,Matvey Safonov,Matvey Safonov,Krasnodar,Premier Liga
982,G,6.99,29.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.4,1.2,0.0,0.0,not-called-up,russia 2020,14.0,150.0,Aleksandr Maksimenko,Aleksandr Maksimenko,Spartak Moscow,Premier Liga
983,G,7.07,26.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.2,1.1,0.42,0.0,called-up,russia 2020,5.0,150.0,Yuri Dyupin,Yuriy Dyupin,Rubin Kazan,Premier Liga
984,G,6.79,33.0,1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.3,1.2,0.94,0.76,line-up,scotland 2020,0.4,68.0,David Marshall,David Marshall,Derby,League One
985,G,7.15,12.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.45,0.27,1.0,0.06,called-up,scotland 2020,0.325,60.0,Jon McLaughlin,Jon McLaughlin,Rangers,Scottish Premiership
986,G,6.32,17.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.98,1.88,0.29,0.0,not-called-up,scotland 2020,0.2,,Robby McCrorie,Robby McCrorie,Rangers B,
987,G,6.51,27.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.5,1.2,0.0,0.0,not-called-up,scotland 2020,0.475,60.0,Zander Clark,Zander Clark,St. Johnstone,Scottish Premiership
988,G,6.97,18.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.2,1.3,0.0,0.0,not-called-up,scotland 2020,0.45,14.0,Liam Kelly,Liam Kelly,Feyenoord,Eredivisie
989,G,6.8,36.0,1.0,89.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.52,1.26,1.0,0.33,called-up,spain 2020,40.0,1.0,David De Gea,David de Gea,Man Utd,Premier League
990,G,6.66,37.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.9,1.1,1.0,0.58,line-up,spain 2020,16.0,2.0,Unai Simón,Unai Simón,Athletic,LaLiga
991,G,6.89,27.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.4,1.0,0.33,0.0,called-up,spain 2020,20.0,1.0,Robert Sánchez,Robert Sánchez,Brighton,Premier League
992,G,6.4,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,not-called-up,spain 2020,3.0,3.0,Josep Martínez,Josep Martínez,RB Leipzig,Bundesliga
993,G,6.95,8.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.38,1.39,0.92,0.62,line-up,sweden 2020,0.55,4.0,Robin Olsen,Robin Olsen,AS Roma,Serie A
994,G,6.98,36.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.1,1.8,1.0,0.23,called-up,sweden 2020,3.0,47.0,Kristoffer Nordfeldt,Kristoffer Nordfeldt,Genclerbirligi,1.Lig
995,G,6.98,32.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.1,1.3,0.08,0.0,not-called-up,sweden 2020,0.9,82.0,Jacob Rinne,Jacob Rinne,Aalborg BK,1.Division
996,G,6.71,23.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.6,1.0,0.15,called-up,sweden 2020,0.8,19.0,Karl-Johan Johnsson,Karl-Johan Johnsson,FC Copenhagen,Superliga
997,G,6.64,39.0,1.0,88.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.72,1.6,1.0,0.73,line-up,switzerland 2020,9.5,3.0,Yann Sommer,Yann Sommer,Bor. M'gladbach,Bundesliga
998,G,6.74,31.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.4,1.6,0.73,0.09,called-up,switzerland 2020,4.8,,Jonas Omlin,Jonas Omlin,without team,
999,G,6.8,41.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.14,1.24,0.91,0.18,called-up,switzerland 2020,2.4,14.0,Yvon Mvogo,Yvon Mvogo,PSV Eindhoven,Eredivisie
1000,G,6.91,34.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.14,1.55,0.0,0.0,not-called-up,switzerland 2020,13.0,3.0,Gregor Kobel,Gregor Kobel,VfB Stuttgart,Bundesliga
1001,G,6.95,39.0,1.0,89.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.53,0.82,0.18,0.0,not-called-up,switzerland 2020,3.0,16.0,David von Ballmoos,David von Ballmoos,BSC Young Boys,Super League
1002,G,6.86,35.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.53,1.25,0.0,0.0,not-called-up,turkey 2020,2.4,21.0,Sinan Bolat,Sinan Bolat,KAA Gent,Jupiler Pro League
1003,G,6.89,32.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.8,1.7,0.46,0.0,not-called-up,turkey 2020,5.5,9.0,Gökhan Akkan,Gökhan Akkan,C. Rizespor,Süper Lig
1004,G,6.73,28.0,1.0,91.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.71,1.62,1.0,0.54,called-up,turkey 2020,3.0,9.0,Mert Günok,Mert Günok,Basaksehir,Süper Lig
1005,G,6.72,5.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.85,0.38,called-up,ukraine 2020,1.6,150.0,Andriy Pyatov,Andriy Pyatov,Shakhtar D.,Premier Liga
1006,G,6.98,21.0,1.0,87.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.92,0.73,0.86,0.0,called-up,wales 2020,0.325,163.0,Adam Davies,Adam Davies,Airbus UK,Cymru North
1007,G,7.01,30.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.17,0.44,0.46,0.15,called-up,ukraine 2020,0.475,150.0,Anatoliy Trubin,Anatoliy Trubin,Shakhtar D.,Premier Liga
